2026-05-31T08:21:36.482Z: Error: Request timed out.
2026-05-31T08:26:21.629Z: Error: Request timed out.
2026-05-31T08:31:18.089Z: [AI Request] Provider: deepseek | Model: deepseek-v4-pro | BaseURL: https://api.deepseek.com | APIKey: sk-0cc...9ccb | Stream: true
2026-05-31T08:31:53.022Z: Error: Request timed out.
2026-05-31T08:35:18.137Z: [AI Request] Provider: deepseek | Model: deepseek-v4-pro | BaseURL: https://api.deepseek.com | APIKey: sk-0cc...9ccb | Stream: true
2026-05-31T08:35:52.713Z: Error: Request timed out.
2026-05-31T08:36:47.966Z: [AI Request] Provider: deepseek | Model: deepseek-v4-pro | BaseURL: https://api.deepseek.com | APIKey: sk-0cc...9ccb | Stream: true
2026-05-31T08:37:26.033Z: Error: Request timed out.
2026-05-31T08:42:05.070Z: [AI Request] Provider: deepseek | Model: deepseek-chat | BaseURL: https://api.deepseek.com | APIKey: sk-0cc...9ccb | Stream: true
2026-05-31T08:42:39.247Z: Error: Request timed out.
2026-05-31T08:49:58.847Z: [AI Request] Provider: deepseek | Model: deepseek-chat | BaseURL: https://api.deepseek.com | APIKey: sk-0cc...9ccb | Stream: false
2026-05-31T08:50:32.351Z: Error: Request timed out.
2026-05-31T08:50:49.305Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: false
2026-05-31T08:51:23.794Z: Error: Request timed out.
2026-05-31T08:52:09.921Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: false
2026-05-31T08:52:43.214Z: Error: Request timed out.
2026-05-31T08:52:57.540Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: false
2026-05-31T08:53:35.782Z: Error: Request timed out.
2026-05-31T09:22:24.759Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: false
2026-05-31T09:22:56.482Z: Error: Request timed out.
2026-05-31T09:27:39.779Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: false | Proxy candidates: http://127.0.0.1:9674
2026-06-01T05:53:45.372Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: socks5://127.0.0.1:9674
2026-06-01T05:53:51.844Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: socks5://127.0.0.1:9674
2026-06-01T05:54:04.864Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: socks5://127.0.0.1:9674
2026-06-01T05:54:36.299Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: socks5://127.0.0.1:9674
2026-06-01T05:54:42.647Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: socks5://127.0.0.1:9674
2026-06-01T05:55:30.141Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: socks5://127.0.0.1:9674
2026-06-01T05:55:41.247Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: socks5://127.0.0.1:9674
2026-06-01T05:55:47.295Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: socks5://127.0.0.1:9674
2026-06-01T05:55:51.143Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: socks5://127.0.0.1:9674
2026-06-01T05:55:55.268Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: socks5://127.0.0.1:9674
2026-06-01T05:56:00.943Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: socks5://127.0.0.1:9674
